# t (s)	mx ()	my ()	mz ()
7.305344436979971e-10	-0.9080544	0.34939674	-0.0028945273
7.401132434508005e-10	-0.9219087	0.33007622	-0.025441222
7.503649774071985e-10	-0.94279295	0.26946527	-0.046674453
7.606064629917969e-10	-0.96161836	0.17497545	-0.06078934
7.70171686667031e-10	-0.97276235	0.07100385	-0.06461074
7.804302463043838e-10	-0.9750148	-0.037494097	-0.05703368
7.900127001631952e-10	-0.96919715	-0.11759278	-0.039497316
8.002719223124571e-10	-0.9611808	-0.16444477	-0.013007365
8.105269742003403e-10	-0.9594985	-0.16307935	0.015927996
8.200916292587123e-10	-0.96572363	-0.118445545	0.04020974
8.303029628615733e-10	-0.9747951	-0.03197467	0.058875438
8.404915336833015e-10	-0.97606015	0.07887316	0.066864066
8.50674626022075e-10	-0.9646117	0.19330315	0.063281044
8.601847590332797e-10	-0.94607294	0.28569746	0.050767146
8.703880567899892e-10	-0.92604136	0.35527715	0.030443823
8.805998867796006e-10	-0.9141556	0.38620263	0.0065910285
8.901374660617853e-10	-0.9155468	0.37841606	-0.01565984
9.003633886875128e-10	-0.9298226	0.33359334	-0.03607866
9.105948739327455e-10	-0.9493272	0.2578368	-0.0498878
9.201469815206784e-10	-0.9638116	0.1705249	-0.054925226
9.303846118304397e-10	-0.970673	0.07520248	-0.051399298
9.406185718819565e-10	-0.97057456	-0.005559124	-0.03957162
9.501677109537589e-10	-0.9686284	-0.056043882	-0.022992305
9.604032516509354e-10	-0.96939605	-0.076233	-0.002348332
9.706423533164473e-10	-0.97568965	-0.060100116	0.017756257
9.801977133808728e-10	-0.98367	-0.016028157	0.032907937
9.904326959075046e-10	-0.98809767	0.05322542	0.042364776
1e-09	-0.98461205	0.12604354	0.043269765
