# t (s)	mx ()	my ()	mz ()	E_total (J)
5.4e-08	0.7938927	0.4045085	0	-2.4891642e-20
5.5e-08	0.78678817	0.40957603	0	-2.6411434e-20
5.6000000000000005e-08	0.7795965	0.4145188	0	-2.794991e-20
5.7e-08	0.7723195	0.41933528	0	-2.95066e-20
5.8e-08	0.76495963	0.42402405	0	-3.108104e-20
5.9000000000000006e-08	0.75751907	0.42858368	0	-3.267275e-20
6.000000000000001e-08	0.75	0.4330127	0	-3.4281227e-20
6.1e-08	0.74240476	0.43730986	0	-3.5906007e-20
6.2e-08	0.7347358	0.4414738	0	-3.7546578e-20
6.300000000000001e-08	0.7269952	0.44550326	0	-3.9202448e-20
6.4e-08	0.71918565	0.449397	0	-4.0873104e-20
6.5e-08	0.71130913	0.4531539	0	-4.255805e-20
6.600000000000001e-08	0.70336837	0.4567727	0	-4.4256757e-20
6.7e-08	0.6953656	0.46025246	0	-4.596872e-20
6.8e-08	0.6873033	0.46359193	0	-4.7693415e-20
6.900000000000001e-08	0.67918396	0.46679023	0	-4.9430317e-20
7e-08	0.67100996	0.46984634	0	-5.1178896e-20
7.1e-08	0.6627841	0.47275934	0	-5.293861e-20
7.200000000000001e-08	0.6545084	0.47552827	0	-5.470894e-20
7.3e-08	0.64618593	0.4781524	0	-5.6489334e-20
7.4e-08	0.6378187	0.48063084	0	-5.827926e-20
7.500000000000001e-08	0.62940955	0.4829629	0	-6.007815e-20
7.6e-08	0.62096095	0.48514786	0	-6.188549e-20
7.7e-08	0.6124756	0.48718506	0	-6.3700694e-20
7.800000000000001e-08	0.60395586	0.48907384	0	-6.552325e-20
7.9e-08	0.59540445	0.4908136	0	-6.735257e-20
8e-08	0.5868241	0.4924039	0	-6.918811e-20
8.100000000000001e-08	0.5782172	0.49384418	0	-7.1029295e-20
8.2e-08	0.5695866	0.49513406	0	-7.287558e-20
8.3e-08	0.56093466	0.49627307	0	-7.472642e-20
8.400000000000001e-08	0.5522642	0.49726096	0	-7.65812e-20
8.500000000000001e-08	0.54357785	0.49809733	0	-7.843941e-20
8.6e-08	0.53487825	0.49878204	0	-8.0300445e-20
8.700000000000001e-08	0.52616805	0.4993148	0	-8.2163766e-20
8.800000000000001e-08	0.51744974	0.49969542	0	-8.402878e-20
8.9e-08	0.5087262	0.49992386	0	-8.5894926e-20
9.000000000000001e-08	0.5	0.5	0	-8.776166e-20
9.100000000000001e-08	0.4912738	0.49992386	0	-8.962838e-20
9.2e-08	0.48255026	0.49969542	0	-9.1494544e-20
9.300000000000001e-08	0.473832	0.4993148	0	-9.3359565e-20
9.400000000000001e-08	0.46512178	0.49878204	0	-9.5222874e-20
