# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.9916864	-5.9517333e-08	6.426865e-38	0.088	0	0
0	0.9917537	-5.0888048e-08	6.489836e-38	0.088999994	0	0
0	0.9918204	-4.7795766e-08	6.428657e-38	0.09	0	0
0	0.99188656	-4.544563e-08	6.507513e-38	0.091000006	0	0
0	0.99195194	-4.1371095e-08	6.400414e-38	0.092	0	0
0	0.9920169	-3.5695848e-08	6.3707524e-38	0.093	0	0
0	0.9920811	-3.1206582e-08	6.3690075e-38	0.09399999	0	0
0	0.9921448	-2.9365765e-08	6.4640396e-38	0.095	0	0
0	0.992208	-2.9271177e-08	6.256701e-38	0.09600001	0	0
0	0.9922705	-2.427987e-08	6.448752e-38	0.097	0	0
0	0.9923325	-2.4549081e-08	6.423616e-38	0.098	0	0
0	0.99239385	-2.1682354e-08	6.447757e-38	0.09899999	0	0
0	0.9924547	-2.2075255e-08	6.385143e-38	0.10000001	0	0
0	0.9923939	-2.2700988e-08	6.410327e-38	0.09899999	0	0
0	0.99233264	-2.2286258e-08	6.4020215e-38	0.098	0	0
0	0.99227065	-2.089655e-08	6.397412e-38	0.097	0	0
0	0.9922081	-2.18497e-08	6.284895e-38	0.09600001	0	0
0	0.99214494	-2.168963e-08	6.5032485e-38	0.095	0	0
0	0.99208117	-2.222805e-08	6.3707927e-38	0.09399999	0	0
0	0.992017	-2.2220775e-08	6.452273e-38	0.093	0	0
0	0.9919522	-2.5014742e-08	6.2729877e-38	0.092	0	0
0	0.9918866	-2.4265319e-08	6.4721206e-38	0.091000006	0	0
0	0.9918206	-2.5480404e-08	6.4391873e-38	0.09	0	0
0	0.9917539	-2.845627e-08	6.486345e-38	0.088999994	0	0
0	0.9916866	-2.7095666e-08	6.421094e-38	0.088	0	0
0	0.99161875	-2.5946065e-08	6.5060214e-38	0.087000005	0	0
0	0.9915501	-2.8921932e-08	6.4141993e-38	0.08600001	0	0
0	0.99148095	-3.115565e-08	6.421808e-38	0.08499999	0	0
0	0.9914111	-3.1199306e-08	6.44961e-38	0.084	0	0
0	0.9913407	-3.3753167e-08	6.365498e-38	0.083	0	0
0	0.9912697	-3.581954e-08	6.40272e-38	0.08200001	0	0
0	0.9911978	-3.5768608e-08	6.521066e-38	0.081	0	0
0	0.9911255	-4.1240128e-08	6.378948e-38	0.07999999	0	0
0	0.9910523	-3.9319275e-08	6.0642817e-38	0.079	0	0
0	0.99097866	-4.0708983e-08	6.402062e-38	0.078	0	0
0	0.9909043	-4.3641194e-08	6.442018e-38	0.077	0	0
0	0.99082917	-4.7526555e-08	6.4208034e-38	0.076	0	0
0	0.9907535	-5.101174e-08	6.3723084e-38	0.074999996	0	0
0	0.990677	-5.4147677e-08	6.4640794e-38	0.074	0	0
0	0.9905999	-5.6330464e-08	6.451245e-38	0.07300001	0	0
0	0.9905219	-5.98593e-08	6.577518e-38	0.072	0	0
0	0.99044335	-6.771006e-08	6.523359e-38	0.071	0	0
0	0.99036413	-7.246854e-08	6.8161007e-38	0.07	0	0
0	0.99028414	-7.467315e-08	6.621025e-38	0.069	0	0
0	0.9902034	-8.2698534e-08	6.955511e-38	0.06800001	0	0
0	0.99012184	-9.06075e-08	6.899217e-38	0.067	0	0
0	0.9900396	-1.00677426e-07	7.011983e-38	0.06599999	0	0
0	0.9899567	-1.1159864e-07	7.0172554e-38	0.065	0	0
0	0.98987293	-1.2335659e-07	7.1835e-38	0.064	0	0
0	0.9897884	-1.3779209e-07	7.30106e-38	0.063	0	0
0	0.9897032	-1.5572004e-07	7.33192e-38	0.062000003	0	0
0	0.98961717	-1.6877311e-07	7.268686e-38	0.060999997	0	0
0	0.9895303	-1.9282743e-07	7.2752115e-38	0.06	0	0
0	0.98944265	-2.1824235e-07	7.262708e-38	0.059000008	0	0
0	0.98935425	-2.4886685e-07	7.190787e-38	0.058	0	0
0	0.9892651	-2.8491195e-07	7.21556e-38	0.057000004	0	0
0	0.989175	-3.3255492e-07	7.3272877e-38	0.055999998	0	0
0	0.9890841	-3.900641e-07	7.395016e-38	0.055000003	0	0
0	0.98899245	-4.4995977e-07	7.414292e-38	0.053999998	0	0
0	0.98889995	-5.3513213e-07	7.4610483e-38	0.053	0	0
0	0.98880655	-6.4283086e-07	7.346943e-38	0.051999994	0	0
0	0.9887123	-7.794879e-07	7.3931974e-38	0.051	0	0
0	0.98861724	-9.4951247e-07	7.3926173e-38	0.050000004	0	0
0	0.98852134	-1.1805678e-06	7.5039987e-38	0.049	0	0
0	0.98842454	-1.4438119e-06	7.612435e-38	0.048000004	0	0
0	0.98832685	-1.7978309e-06	7.872032e-38	0.046999995	0	0
0	0.9882282	-2.242712e-06	7.712482e-38	0.046	0	0
0	0.9881287	-2.825007e-06	7.7761415e-38	0.045	0	0
0	0.9880283	-3.6153215e-06	7.725446e-38	0.044	0	0
0	0.98792684	-4.646354e-06	7.8735855e-38	0.043000005	0	0
0	0.9803689	-0.046215776	1.7207831e-37	0.042	0	0
0	0.97997934	-0.047055263	1.7115556e-37	0.041000005	0	0
0	0.9795855	-0.04788769	1.6947283e-37	0.039999995	0	0
0	0.9791886	-0.048710506	1.7186428e-37	0.039	0	0
0	0.9787879	-0.049526192	1.7495976e-37	0.038	0	0
0	0.9783838	-0.05033338	1.7571276e-37	0.037	0	0
0	0.9779757	-0.05113476	1.769046e-37	0.036	0	0
0	0.97756386	-0.05192952	1.7704588e-37	0.035	0	0
0	0.97714806	-0.052718394	1.7805284e-37	0.034000006	0	0
0	0.97672796	-0.05350277	1.8010487e-37	0.032999996	0	0
0	0.9763037	-0.054282732	1.8013272e-37	0.032	0	0
0	0.9758751	-0.055058375	1.7997311e-37	0.031000001	0	0
0	0.97544223	-0.055830013	1.8242974e-37	0.03	0	0
0	0.97500455	-0.05659886	1.842528e-37	0.029	0	0
0	0.9745621	-0.057364933	1.8517298e-37	0.027999999	0	0
0	0.974115	-0.058128297	1.8775178e-37	0.026999999	0	0
0	0.973662	-0.058891453	1.7361703e-37	0.025999997	0	0
0	0.9732056	-0.059649527	1.9061684e-37	0.025000002	0	0
0	0.9727431	-0.060407832	1.9156364e-37	0.024000002	0	0
0	0.97227514	-0.061165426	1.9308837e-37	0.023	0	0
0	0.97180176	-0.0619218	1.927155e-37	0.022	0	0
0	0.97132266	-0.0626784	1.93388e-37	0.021	0	0
0	0.9708376	-0.06343436	1.924469e-37	0.019999998	0	0
0	0.97034675	-0.06419055	1.9011114e-37	0.019	0	0
0	0.96984977	-0.06494724	1.915545e-37	0.018	0	0
0	0.9693462	-0.06570488	1.932741e-37	0.017000003	0	0
0	0.9688363	-0.066463485	1.9278134e-37	0.016	0	0
0	0.96831995	-0.06722301	1.9450276e-37	0.015	0	0
0	0.9677967	-0.06798409	1.9324928e-37	0.0139999995	0	0
0	0.9672663	-0.06874715	1.9567238e-37	0.012999998	0	0
0	0.9667288	-0.06951208	1.967929e-37	0.012000001	0	0
0	0.96618384	-0.07027956	1.9747833e-37	0.011	0	0
0	0.96563125	-0.07104958	2.0289176e-37	0.009999999	0	0
0	0.9650711	-0.071821675	2.00791e-37	0.009	0	0
0	0.9645028	-0.07259726	2.0518944e-37	0.008	0	0
0	0.9639262	-0.07337631	2.065516e-37	0.0069999998	0	0
0	0.96334136	-0.07415834	2.062136e-37	0.0060000005	0	0
0	0.96274734	-0.0749448	2.080949e-37	0.0049999994	0	0
0	0.96214485	-0.07573469	2.0691959e-37	0.004	0	0
0	0.961533	-0.076529086	2.063228e-37	0.0030000003	0	0
0	0.96091163	-0.07732807	2.0688663e-37	0.002	0	0
0	0.9602804	-0.07813188	2.070312e-37	0.001	0	0
0	0.9596392	-0.07894141	2.071685e-37	-7.632783e-17	0	0
0	0.95898795	-0.07975456	2.0948825e-37	-0.001	0	0
0	0.9583261	-0.08057386	2.1093439e-37	-0.002	0	0
0	0.95765305	-0.08139938	2.1107183e-37	-0.0030000003	0	0
0	0.95696825	-0.08223265	2.1013352e-37	-0.004	0	0
0	0.95627296	-0.08306872	2.1075637e-37	-0.0049999994	0	0
